Sample	Region	State	Typo	Latitude	Longitude	Temp	Cond	Sal	OD	pH	Clorof	NO2	NO3	PO4	SO4	NH4	NID	Ptotal	NPratio	Trophic	Bacteria	HighDNA	LowDNA	%High	%Low
2186	Costeira_Nordeste_Ocidental	MA	Lake	S0324730 	W04507006 	28.65	131	0.06	8.42	7.11	39.7	0.00	26.17	4.98	877.52	0.00	26.17	115.61	5.25	Eutrophic	688930.41	463374.59	162725.36	67	24
2187	Costeira_Nordeste_Ocidental	MA	Lake	S0336864 	W04517741 	28.74	122	0.06	8.27	7.14	22.2	0.00	251.48	16.61	897.66	0.00	251.48	111.46	15.14	Eutrophic	522431.62	329408.86	128473.62	63	25
194	Costeira_Nordeste_Ocidental	MA	River	S0318223 	W04454638 	30.39	181	0.08	7.46	6.93	14	0.00	268.63	1.66	1946.70	0.00	268.63	76.81	161.74	Eutrophic	975690.43	632832.81	256606.58	65	26
210	Costeira_Nordeste_Ocidental	MA	River	S0339129 	W04448022 	30.02	144	0.07	7.22	7.53	21.2	0.00	231.75	7.47	1375.23	0.53	232.28	70.90	31.08	Eutrophic	365438.22	249594.30	89166.92	68	24
265	Costeira_Nordeste_Ocidental	MA	River	S0419775 	W04520943 	30.25	277	0.13	8.25	8.08	25.7	0.00	0.07	1.55	0.452	0.00	0.07	118.17	0.05	Eutrophic	1508987.91	974194.78	413863.78	65	27
281	Costeira_Nordeste_Ocidental	MA	Lake	S0343463 	W04532580 	27.91	373	0.18	8.44	7.05	10.3	0.00	102.80	1.08	599.50	0.00	102.80	45.03	95.22	Mesotrophic	470757.20	350243.36	82005.90	74	17
302	Costeira_Nordeste_Ocidental	MA	Reservoir	S0511238 	W04446377 	28.79	158	0.07	7.22	7.11	11.1	0.00	34.07	0.77	0.606	4.74	38.81	38.48	50.18	Mesotrophic	242382.05	210471.81	29873.42	87	12
92	Costeira_Nordeste_Ocidental	MA	River	S0142613 	W04551290 	27.9	89	0.04	7.87	6.83	7.7	0.00	137.99	0.77	0.358	1.90	139.89	27.63	180.86	Mesotrophic	695918.85	489926.87	145864.59	70	21
122	Costeira_Nordeste_Ocidental	MA	River	S0202311 	W04512511 	28.98	80	0.04	7.76	6.81	16.1	0.00	16.09	0.00	0.554	0.00	16.09	42.00	NA	Mesotrophic	1614840.87	1288710.22	258927.97	80	16
132	Costeira_Nordeste_Ocidental	MA	River	S0213308 	W04517879 	30.22	70	0.03	8.07	7.08	17.3	0.00	17.08	0.00	0.381	0.00	17.08	35.45	NA	Mesotrophic	824043.03	571752.58	180358.58	69	22
171	Costeira_Nordeste_Ocidental	MA	River	S0254525 	W04414629 	30.41	2158	1.09	8	7.47	11.3	0.00	82.50	0.83	36717.47	0.00	82.50	36.25	99.34	Mesotrophic	598316.60	264814.93	241959.23	44	40
173	Costeira_Nordeste_Ocidental	MA	River	S0253105 	W04539088 	27.07	69	0.03	8.41	6.97	4.4	0.00	235.17	1.93	0.348	48.37	283.54	27.95	146.64	Mesotrophic	942767.62	602323.76	229016.54	64	24
198	Costeira_Nordeste_Ocidental	MA	River	S0321760 	W04420556 	30.17	100	0.05	8.41	8.44	25.2	0.00	3.87	0.83	1506.53	0.00	3.87	36.09	4.65	Mesotrophic	1307334.37	839831.60	584639.93	64	45
211	Costeira_Nordeste_Ocidental	MA	River	S0341799 	W04557934 	27.05	270	0.13	8.42	6.99	12.8	0.00	100.79	0.25	328.28	0.00	100.79	33.06	404.57	Mesotrophic	984481.90	527485.40	322319.37	54	33
212	Costeira_Nordeste_Ocidental	MA	River	S0341236 	W04530097 	28.04	253	0.12	8.32	7.09	16.5	0.00	97.65	0.00	431.07	0.00	97.65	40.40	NA	Mesotrophic	437037.04	294388.15	104801.48	67	24
213	Costeira_Nordeste_Ocidental	MA	River	S0331684 	W04424054 	29.96	93	0.04	8.14	8.36	16.8	0.00	56.48	0.83	1388.83	0.00	56.48	38.96	68.00	Mesotrophic	1716114.02	1104834.21	424909.83	64	25
246	Costeira_Nordeste_Ocidental	MA	River	S0325164 	W04504081 	29.44	236	0.11	8.05	7.08	13.8	0.00	171.99	3.32	847.97	0.00	171.99	51.26	51.77	Mesotrophic	438335.81	308413.08	89595.84	70	20
264	Costeira_Nordeste_Ocidental	MA	River	S0450058 	W04322084 	27.2	61	0.03	8.32	7.51	8.3	0.29	83.35	7.47	796.44	29.14	112.79	46.31	15.09	Mesotrophic	596795.31	309007.88	190507.17	52	32
299	Costeira_Nordeste_Ocidental	MA	River	S0457068 	W04453141 	27.43	64	0.03	8.41	7.7	9.1	0.00	55.74	0.00	0.787	0.00	55.74	26.83	NA	Mesotrophic	979875.90	472854.19	354488.11	48	36
324	Costeira_Nordeste_Ocidental	MA	Lake	S0610713 	W04356724 	26.9	231	0.11	8.17	7.66	3.8	0.00	21.89	0.00	0.067	0.00	21.89	24.43	NA	Oligotrophic	5017006.80	2560680.27	2038911.56	51	41
166	Costeira_Nordeste_Ocidental	MA	River	S0253887 	W04403786 	29.52	62	0.03	7.97	6.8	6.7	0.00	109.94	0.00	309.45	0.00	109.94	20.28	NA	Oligotrophic	499322.95	271631.69	172166.55	54	34
185	Costeira_Nordeste_Ocidental	MA	River	S0214345 	W04624273 	27.99	70	0.03	8.46	6.96	0	0.77	101.49	3.67	0.380	0.00	102.26	15.81	27.83	Oligotrophic	1314745.01	710354.77	443481.15	54	34
201	Costeira_Nordeste_Ocidental	MA	River	S0326087 	W04356243 	29.52	78	0.04	8.03	7.55	3.1	0.00	98.79	0.00	280.16	0.00	98.79	19.80	NA	Oligotrophic	380105.66	259232.06	86740.11	68	23
245	Costeira_Nordeste_Ocidental	MA	River	S0241071 	W04243768 	29.26	112	0.05	8.12	7.08	6.1	0.00	41.69	1.74	0.785	0.00	41.69	14.53	23.96	Oligotrophic	1018690.41	591694.43	317197.01	58	31
298	Costeira_Nordeste_Ocidental	MA	River	S0149225 	W04612994 	28.42	72	0.03	8.24	6.92	0	0.00	121.01	0.00	0.218	0.00	121.01	22.20	NA	Oligotrophic	411715.92	163821.31	151656.36	40	37
2184	Costeira_Nordeste_Ocidental	MA	River	S0304125 	W04401054 	29.19	64	0.03	8.07	7.23	6.9	0.00	109.37	0.83	295.33	0.00	109.37	18.20	131.70	Oligotrophic	571317.90	330450.28	152541.88	58	27
310	Costeira_Nordeste_Oriental	RN	Lake	S0540238 	W03748122 	30.13	1	0.25	8.43	8.41	10.2	0.00	6.64	0.00	0.642	0.00	6.64	57.16	NA	Eutrophic	19032258.06	11274709.68	6646064.52	59	35
489	Costeira_Nordeste_Oriental	AL	Lake	S0938226 	W03546268 	29.39	24201	14.61	6.87	8.97	45.6	0.00	625.75	0.00	236.654	0.00	625.75	164.28	NA	Eutrophic	8016304.35	4800163.04	2895489.13	60	36
490	Costeira_Nordeste_Oriental	AL	Lake	S0943586 	W03552796 	29.39	24201	14.6	6.87	9.58	45.4	0.00	0.18	1.74	1.452	0.00	0.18	181.21	0.11	Eutrophic	10498220.64	6485800.71	3374128.11	62	32
2134	Costeira_Nordeste_Oriental	RN	Lake	S0531123 	W03656188 	29.87	1552	0.77	8.07	8.22	5.7	0.00	2.37	8.70	0.826	0.00	2.37	113.67	0.27	Eutrophic	4586305.42	3247906.40	1184359.61	71	26
367	Costeira_Nordeste_Oriental	PB	Reservoir	S0702751 	W03755496 	25.06	0	0.03	7.58	7.65	0	0.00	24.00	3.67	0.696	0.00	24.00	60.19	6.53	Eutrophic	15089514.07	8567826.09	5646496.16	57	37
394	Costeira_Nordeste_Oriental	PB	Reservoir	S0729160 	W03608887 	26.97	1	0.34	8.3	7.91	18.3	0.00	801.87	43.61	2238.70	0.00	801.87	120.70	18.39	Eutrophic	183563.32	45935.69	97254.47	25	53
397	Costeira_Nordeste_Oriental	PB	Reservoir	S0732017 	W03613841 	27.04	1	0.37	8.15	7.86	4	0.00	664.52	37.38	2379.23	0.00	664.52	110.80	17.78	Eutrophic	173641.71	35437.08	97717.76	20	56
405	Costeira_Nordeste_Oriental	PB	Reservoir	S0728383 	W03535089 	28.76	1430	0.71	8.39	8.93	3.9	0.00	3.86	37.38	9131.97	0.53	4.39	104.09	0.12	Eutrophic	1056646.52	579601.40	372607.97	55	35
228	Costeira_Nordeste_Oriental	CE	Reservoir	S0402822 	W03832112 	28.04	352	0.17	9.12	8.54	5.9	0.00	-0.13	0.97	1.022	0.00	-0.13	72.98	-0.13	Eutrophic	6057494.87	3961601.64	1877823.41	65	31
234	Costeira_Nordeste_Oriental	CE	Reservoir	S0415191 	W04026974 	27.79	197	0.09	8.51	8.14	0	0.00	1.72	0.00	0.281	0.00	1.72	75.69	NA	Eutrophic	3056994.82	2207150.26	755689.12	72	25
261	Costeira_Nordeste_Oriental	CE	Reservoir	S0446442 	W04035123 	27.09	203	0.1	7.86	7.79	0	0.00	1.89	0.19	0.057	60.70	62.59	79.21	323.70	Eutrophic	4208273.89	3003024.25	1067218.26	71	25
278	Costeira_Nordeste_Oriental	CE	Reservoir	S0505056 	W03818602 	27.32	950	0.47	8.85	8.35	43.5	0.00	0.55	0.00	0.584	0.00	0.55	72.34	NA	Eutrophic	9808342.54	6281381.22	3112983.43	64	32
290	Costeira_Nordeste_Oriental	CE	Reservoir	S0521512 	W03856378 	28.39	335	0.16	8.26	7.99	7	0.00	104.51	23.78	0.771	0.00	104.51	93.74	4.39	Eutrophic	155844.84	142894.99	11721.85	92	8
337	Costeira_Nordeste_Oriental	CE	Reservoir	S0554017 	W04013099 	25.85	217	0.1	8.85	8.24	21.2	0.00	9.34	2.13	0.063	0.00	9.34	109.55	4.39	Eutrophic	3329571.11	2225485.33	875011.29	67	26
276	Costeira_Nordeste_Oriental	RN	River	S0509880 	W03714145 	29.91	18212	10.7	5.91	8.54	3.2	0.00	56.77	38.67	113.882	0.00	56.77	86.69	1.47	Eutrophic	14014251.78	8629976.25	4279952.49	62	31
286	Costeira_Nordeste_Oriental	RN	River	S0519366 	W03647426 	30.15	1	0.29	8.58	8.5	6.3	0.00	0.07	22.24	0.991	0.00	0.07	128.36	0.00	Eutrophic	5157342.66	2919055.94	1641066.43	57	32
313	Costeira_Nordeste_Oriental	RN	River	S0547300 	W03514058 	28.89	83859	58.93	NA	7.71	4.7	0.00	5.56	0.00	694.075	0.00	5.56	129.96	NA	Eutrophic	9516129.03	6568032.26	2588387.10	69	27
316	Costeira_Nordeste_Oriental	RN	River	S0540630 	W03651905 	29.05	0	0.23	7.85	7.91	0.2	0.00	164.36	50.08	0.165	0.00	164.36	121.66	3.28	Eutrophic	4673333.33	2241333.33	1801333.33	48	39
339	Costeira_Nordeste_Oriental	RN	River	S0619399 	W03719211 	30.07	1	0.49	8.1	9.24	7.3	0.00	0.55	17.98	0.680	0.00	0.55	147.36	0.03	Eutrophic	4815469.26	2869805.83	1472135.92	60	31
351	Costeira_Nordeste_Oriental	PB	River	S0636006 	W03721866 	28.72	0	0.19	8.02	7.78	5.4	0.00	3.26	0.00	1.525	0.00	3.26	77.11	NA	Eutrophic	10946196.66	6672801.48	3627569.57	61	33
358	Costeira_Nordeste_Oriental	PB	River	S0648251 	W03502343 	27.7	1382	0.69	7.21	7.84	13.1	0.00	341.60	1.35	3.411	0.00	341.60	85.57	252.38	Eutrophic	2241440.76	1332113.74	646483.41	59	29
364	Costeira_Nordeste_Oriental	PB	River	S0651195 	W03518370 	29.04	1444	0.72	7.89	7.91	20.9	0.00	448.46	0.00	3.322	0.00	448.46	84.78	NA	Eutrophic	5657514.93	3141027.48	1941290.32	56	34
448	Costeira_Nordeste_Oriental	PE	River	S0848079 	W03521490 	27.59	1	0.47	7.81	6.55	4.8	0.00	442.80	16.44	1.601	0.00	442.80	98.19	26.94	Eutrophic	7687801.72	2787241.38	3613750.00	36	47
449	Costeira_Nordeste_Oriental	PE	River	S0848651 	W03508205 	27.9	7671	4.22	4.15	7.91	9.4	0.00	392.38	0.00	40.765	0.00	392.38	117.19	NA	Eutrophic	994254.70	452292.28	365085.59	45	37
2131	Costeira_Nordeste_Oriental	RN	River	S0621603 	W03505774 	27.66	56814	37.73	NA	7.5	5.8	0.00	14.10	0.00	442.529	0.00	14.10	67.53	NA	Eutrophic	6330472.10	4038841.20	2001695.28	64	32
2136	Costeira_Nordeste_Oriental	PE	River	S0732390 	W03454006 	27.24	1	0.41	7.76	7.65	23.4	0.00	479.44	17.98	4.319	0.00	479.44	155.02	26.66	Eutrophic	2461073.27	1510010.32	731867.91	61	30
176	Costeira_Nordeste_Oriental	CE	River	S0257000	W04008000	NA	NA	NA	NA	NA	NA	0.00	3.80	0.00	20.237	0.00	3.80	90.70	NA	Eutrophic	1594594.59	1113664.86	377600.00	70	24
252	Costeira_Nordeste_Oriental	CE	River	S0438780 	W03749548 	28.29	3371	1.75	9.07	8.46	8.6	0.00	70.99	0.00	29.106	0.00	70.99	100.12	NA	Eutrophic	1924660.19	1410080.91	417200.65	73	22
279	Costeira_Nordeste_Oriental	CE	River	S0503019 	W03803840 	28.54	577	0.28	8.62	8.28	2.7	0.00	199.16	37.51	1.311	0.00	199.16	167.19	5.31	Eutrophic	3314606.74	2053730.34	1073932.58	62	32
372	Costeira_Nordeste_Oriental	PB	River	S0706845 	W03454330 	30.33	4573	2.42	6.25	7.85	5	0.00	296.81	43.61	37465.14	0.00	296.81	221.60	6.81	Hypereutrophic	602293.45	311180.64	229789.63	52	38
415	Costeira_Nordeste_Oriental	PE	River	S0757778 	W03504996 	26.36	1001	0.49	8.63	7.83	16.6	0.00	492.61	9.09	6.483	0.00	492.61	264.70	54.20	Hypereutrophic	1961973.97	1050737.53	645032.54	54	33
505	Costeira_Nordeste_Oriental	AL	Lake	S0948614 	W03554599 	28.08	0	0.1	8.49	7.71	6.4	0.00	119.76	6.57	0.663	0.00	119.76	50.77	18.22	Mesotrophic	1416906.82	728290.11	576114.31	51	41
508	Costeira_Nordeste_Oriental	AL	Lake	S0958204 	W03601652 	28.67	3248	1.69	8.83	7.99	8.6	0.00	4.25	0.00	18.364	0.00	4.25	50.29	NA	Mesotrophic	2165192.73	1517265.45	559534.55	70	26
237	Costeira_Nordeste_Oriental	CE	Lake	S0252000	W04039000	NA	NA	NA	NA	NA	NA	0.00	81.29	0.00	15.639	0.00	81.29	29.38	NA	Mesotrophic	1040148.15	605494.95	342478.11	58	33
319	Costeira_Nordeste_Oriental	RN	Reservoir	S0553728 	W03547002 	28.7	1725	0.87	7.93	8.03	4.2	0.00	116.06	1.35	5.960	0.00	116.06	32.25	85.74	Mesotrophic	5705224.36	3691282.05	1718942.31	65	30
402	Costeira_Nordeste_Oriental	PB	Reservoir	S0734667 	W03617379 	27.66	1	0.47	7.91	8.02	4.6	0.00	269.00	12.46	3044.17	0.00	269.00	50.45	21.59	Mesotrophic	1305171.91	726199.05	444989.23	56	34
2135	Costeira_Nordeste_Oriental	RN	Reservoir	S0546674 	W03748939 	29.86	0	0.24	8.48	9.52	14	0.00	0.04	1.74	0.454	0.00	0.04	42.95	0.02	Mesotrophic	2836538.46	1901615.38	838480.77	67	30
214	Costeira_Nordeste_Oriental	CE	Reservoir	S0347000	W03916000	NA	NA	NA	NA	NA	NA	0.00	5.25	3.09	2.136	0.00	5.25	42.96	1.70	Mesotrophic	2549697.49	1631806.40	892394.12	64	35
219	Costeira_Nordeste_Oriental	CE	Reservoir	S0348031 	W04031166 	28.03	139	0.06	8.36	7.81	0	0.00	40.75	0.97	0.094	0.00	40.75	32.10	42.15	Mesotrophic	2416052.42	1467027.03	805995.09	61	33
227	Costeira_Nordeste_Oriental	CE	Reservoir	S0403000	W03942000	NA	NA	NA	NA	NA	NA	0.00	23.80	0.00	2.259	0.00	23.80	27.31	NA	Mesotrophic	4490106.54	3019147.64	1287762.56	67	29
318	Costeira_Nordeste_Oriental	CE	Reservoir	S0540254 	W03838913 	28.74	279	0.13	9.11	8.62	10.7	0.00	3.63	0.00	1.386	0.00	3.63	38.33	NA	Mesotrophic	5971659.92	4204048.58	1552631.58	70	26
183	Costeira_Nordeste_Oriental	CE	River	S0302079 	W04048900 	29.08	17637	10.34	7.64	7.68	0	0.00	193.32	0.00	222.762	0.00	193.32	27.31	NA	Mesotrophic	1204314.23	812247.26	305447.52	67	25
510	Costeira_Nordeste_Oriental	AL	Lake	S1000361 	W03603835 	28.94	0	0.15	8.84	7.91	0	0.00	12.08	2.71	0.879	0.00	12.08	18.04	4.46	Oligotrophic	1288735.01	761788.44	442017.45	59	34
2132	Costeira_Nordeste_Oriental	RN	Lake	S0602403 	W03512704 	28.76	1	0.25	8.64	7.96	0	0.00	0.61	0.00	2.881	0.00	0.61	16.92	NA	Oligotrophic	828186.41	376327.91	324317.80	45	39
2133	Costeira_Nordeste_Oriental	RN	Lake	S0542848 	W03517306 	29.06	1	0.42	8.42	7.82	3.5	0.00	27.04	0.00	0.899	0.00	27.04	25.70	NA	Oligotrophic	1095839.52	731582.47	279219.91	67	25
170	Costeira_Nordeste_Oriental	CE	Lake	S0253000	W04035000	NA	NA	NA	NA	NA	NA	0.00	2.72	0.00	88.567	0.00	2.72	22.04	NA	Oligotrophic	895295.90	605220.03	210931.71	68	24
15	Costeira_Norte	AP	Lake	N0119339 	W05024734 	32.49	109	0.05	7.05	9.21	19.9	0.00	11.99	2.51	0.508	0.00	11.99	57.97	4.77	Eutrophic	3111145.37	1320352.42	1325550.66	42	43
21	Costeira_Norte	AP	Lake	N0137115 	W05010027 	30.86	283	0.13	7.73	9.51	39.2	0.00	0.55	14.70	8.481	0.00	0.55	192.11	0.04	Eutrophic	10857942.39	5802880.66	4074156.38	53	38
22	Costeira_Norte	AP	Lake	N0137052 	W05009870 	31.12	197	0.09	6.90	8.32	13.5	0.00	5.22	2.32	0.739	0.00	5.22	48.70	2.25	Mesotrophic	4846502.64	2521757.47	1903760.98	52	39
26	Costeira_Norte	AP	River	N0208872 	W05050472 	28.84	7699	4.23	6.55	7.43	18.9	0.00	76.11	3.87	103.653	0.00	76.11	45.35	19.68	Mesotrophic	200612.20	136426.06	36852.12	68	18
6	Costeira_Norte	AP	Lake	N0332776 	W05113826 	29.96	90	0.04	7.67	6.5	13.6	0.00	2.83	2.32	0.044	0.00	2.83	24.59	1.22	Oligotrophic	1610924.05	820025.32	618379.75	51	38
25	Costeira_Norte	AP	Lake	N0131659 	W05049463 	30.51	78	0.03	7.84	6.51	9.9	0.00	30.91	2.51	0.093	0.00	30.91	24.91	12.30	Oligotrophic	995674.23	430881.17	382830.44	43	38
27	Costeira_Norte	AP	Lake	N0145148 	W05019099 	30.64	4303	2.27	7.66	7.53	26.7	0.00	91.65	0.00	0.111	0.00	91.65	16.29	NA	Oligotrophic	636863.54	295600.81	209083.50	46	33
3	Costeira_Norte	AP	River	N0347863 	W05154314 	29.23	94	0.04	8.35	7.33	9.6	0.03	81.72	0.77	0.107	0.00	81.75	17.09	105.69	Oligotrophic	1178288.61	504002.90	468063.81	43	40
4	Costeira_Norte	AP	River	N0348487 	W05152189 	29.12	95	0.04	8.19	7.41	12.6	0.00	87.78	0.97	0.109	0.00	87.78	18.52	90.79	Oligotrophic	2593857.79	996127.08	1126444.78	38	43
5	Costeira_Norte	AP	River	N0343365 	W05155327 	28.49	93	0.04	8.16	7.11	36.2	0.00	87.35	0.77	0.111	0.00	87.35	24.59	112.94	Oligotrophic	1583684.21	624778.95	658315.79	39	42
13	Costeira_Norte	AP	River	N0308702 	W05114135 	28.44	82	0.04	7.06	7.05	21.3	0.00	80.72	4.25	0.107	0.00	80.72	24.27	18.98	Oligotrophic	681746.96	279631.81	273160.99	41	40
18	Costeira_Norte	AP	River	N0256497 	W05125716 	27.39	82	0.04	7.51	7.47	10.7	0.00	75.86	2.71	0.118	0.00	75.86	23.15	28.02	Oligotrophic	544202.95	261378.27	182294.59	48	33
23	Costeira_Norte	AP	River	N0224202 	W05100293 	28.11	88	0.04	7.30	7.71	8	0.00	51.34	0.00	0.476	0.00	51.34	16.77	NA	Oligotrophic	569017.94	300678.63	173246.33	53	30
30	Costeira_Norte	AP	River	N0101501 	W05038780 	31.08	86	0.04	7.63	7.23	14.5	0.00	95.00	0.77	0.112	0.00	95.00	23.47	122.83	Oligotrophic	830683.57	342811.47	340209.48	41	41
37	Costeira_Norte	AP	River	N0051872 	W05109523 	30.56	80	0.04	7.49	7.18	11.4	0.06	101.04	2.90	0.106	0.00	101.09	19.96	34.86	Oligotrophic	1146915.89	397009.35	524444.44	35	46
38	Costeira_Norte	AP	River	N0043398 	W05127503 	29.56	81	0.04	7.84	6.88	6.1	0.00	109.85	3.87	0.119	0.00	109.85	21.88	28.41	Oligotrophic	448016.94	222342.98	146979.53	50	33
2006	Costeira_Sudeste	RJ	Reservoir	S2236000	W04217000	NA	NA	NA	NA	NA	NA	NA	22.08	11.83	2182.29	102.87	124.96	65.76	10.56	Eutrophic	132376.33	58986.34	73389.98	45	55
2217	Costeira_Sudeste	RJ	Reservoir	S2240113 	W04219189 	25.84	504	0.24	5.45	8.38	7.6	0.00	119.21	0.00	5.094	0.00	119.21	62.44	NA	Eutrophic	204580.23	174684.55	29895.68	85	15
2113	Costeira_Sudeste	MG	Reservoir	S1926103 	W04106076 	29.41	58	0.03	8.12	7.28	66.3	0.00	314.44	1.79	547.58	NA	314.44	53.64	175.88	Eutrophic	4397084.40	1982762.15	2236265.98	45	51
854	Costeira_Sudeste	RJ	River	S2231136 	W04357520 	24.03	124	0.06	7.39	6.63	7.3	0.24	208.37	13.00	1102.16	54.29	262.89	89.05	20.22	Eutrophic	134455.70	72091.14	62364.56	54	46
714	Costeira_Sudeste	ES	River	S1836975 	W04011144 	30.49	164	0.08	7.23	9.02	25.7	0.00	157.40	0.00	701.86	17.85	175.25	55.88	NA	Eutrophic	2732176.04	1341564.79	1223276.28	49	45
720	Costeira_Sudeste	ES	River	S1841973 	W03950207 	30.08	131	0.06	6.03	8.97	24.5	0.00	134.50	0.00	744.93	0.00	134.50	65.29	NA	Eutrophic	4706094.28	2727508.42	1801784.51	58	38
726	Costeira_Sudeste	MG	River	S1851037 	W04152739 	26.5	62	0.03	8.12	7.15	75.2	0.00	321.88	0.00	553.68	0.00	321.88	69.59	NA	Eutrophic	1882808.80	904467.01	878511.00	48	47
747	Costeira_Sudeste	MG	River	S1927994 	W04227034 	27.05	74	0.03	8.09	7.42	80	0.00	412.71	0.00	619.85	0.00	412.71	57.63	NA	Eutrophic	3477283.46	2215984.25	1040629.92	64	30
749	Costeira_Sudeste	ES	River	S1930981 	W04035560 	30.08	59	0.03	8.23	6.97	66.3	0.00	338.67	5.36	595.43	0.00	338.67	64.17	63.14	Eutrophic	1409595.49	794521.25	531694.83	56	38
783	Costeira_Sudeste	MG	River	S2019884 	W04253906 	26.71	72	0.03	8.15	7.46	682.5	0.00	291.16	2.68	311.45	0.00	291.16	56.04	108.57	Eutrophic	2097028.57	986704.76	885561.90	47	42
799	Costeira_Sudeste	ES	River	S2047233 	W04108865 	25.31	61	0.03	9.3	7.46	453.3	0.00	410.80	1.79	500.22	17.85	428.65	120.15	239.76	Eutrophic	3681600.00	1970600.00	1528100.00	54	42
801	Costeira_Sudeste	ES	River	S2052877 	W04105623 	25.42	66	0.03	9.07	7.24	697	0.00	243.46	0.00	355.51	42.14	285.60	130.68	NA	Eutrophic	1328199.05	788530.81	469763.03	59	35
804	Costeira_Sudeste	ES	River	S2059454 	W04054141 	26.08	75	0.03	8.32	6.88	437.7	0.00	201.10	0.00	356.33	8.14	209.24	130.04	NA	Eutrophic	788679.63	420307.06	315230.30	53	40
832	Costeira_Sudeste	RJ	River	S2142475 	W04109947 	25.6	60	0.03	8.27	7.05	123.2	0.00	309.29	1.79	559.62	22.71	332.00	175.33	185.70	Eutrophic	1234116.33	721991.05	446129.75	59	36
836	Costeira_Sudeste	MG	River	S2153935 	W04243320 	26.2	91	0.04	8.45	7.29	35.7	0.00	418.43	1.34	893.93	5.71	424.14	75.33	316.32	Eutrophic	5008761.33	2941087.61	1821691.84	59	36
845	Costeira_Sudeste	RJ	River	S2214929 	W04328819 	25.7	103	0.05	8.45	6.68	40.2	0.00	645.69	0.00	2232.47	11.78	657.47	103.56	NA	Eutrophic	2760849.26	1696093.42	901910.83	61	33
850	Costeira_Sudeste	RJ	River	S2217972 	W04150152 	23.92	53	0.02	8.49	6.52	33.9	0.00	226.28	1.79	1377.07	54.29	280.57	65.76	156.93	Eutrophic	1633261.80	1180000.00	914120.17	72	56
1013	Costeira_Sudeste	MG	River	S2210284 	W04310356 	24.13	86	0.04	8.63	7.12	29.2	0.16	915.69	0.45	675.29	NA	915.85	109.46	2049.06	Eutrophic	2440219.30	1684605.26	633991.23	69	26
2104	Costeira_Sudeste	MG	River	S1909983 	W04127579 	27.24	68	0.03	7.94	7.22	86.2	0.00	289.82	0.45	513.92	NA	289.82	72.78	648.44	Eutrophic	7173554.99	4107365.73	2746291.56	57	38
2112	Costeira_Sudeste	ES	River	S1842320 	W04014345 	30.8	105	0.05	7.87	9.09	25.2	0.00	369.39	0.00	559.62	NA	369.39	54.12	NA	Eutrophic	2255063.52	1351324.86	768820.33	60	34
2123	Costeira_Sudeste	RJ	River	S2141958 	W04125494 	25.11	59	0.03	8.53	7.15	6.7	0.00	464.80	1.34	899.21	NA	464.80	168.32	346.64	Eutrophic	22142878.79	15393636.36	6418484.85	70	29
852	Costeira_Sudeste	RJ	Lake	S2254491 	W04233870 	25.15	40930	26.18	4.68	8.01	149	0.00	156.34	96.68	578.336	0.00	156.34	217.18	1.62	Hypereutrophic	4550000.00	4045000.00	462500.00	89	10
839	Costeira_Sudeste	RJ	Lake	S2158795 	W04119107 	26.91	105	0.05	8.84	6.76	37.4	0.00	201.10	0.00	356.33	17.85	218.95	29.56	NA	Mesotrophic	5217232.70	2831257.86	2122515.72	54	41
842	Costeira_Sudeste	RJ	Lake	S2203556 	W04122666 	26.9	156	0.07	9.05	6.79	76.1	0.00	4.56	0.45	11661.32	5.71	10.27	29.40	22.97	Mesotrophic	3207539.68	1629523.81	1379007.94	51	43
2105	Costeira_Sudeste	MG	Lake	S1759425 	W04155336 	29.89	156	0.07	6.53	7.22	3.6	0.00	0.55	4.02	385.87	NA	0.55	32.75	0.14	Mesotrophic	13740192.31	8220288.46	5049038.46	60	37
2005	Costeira_Sudeste	RJ	Reservoir	S2240000	W04221000	NA	NA	NA	NA	NA	NA	NA	13.44	11.05	1352.70	102.87	116.32	46.47	10.53	Mesotrophic	114181.18	53153.31	61027.87	47	53
737	Costeira_Sudeste	MG	River	S1901325 	W04132036 	26.86	65	0.03	7.96	7.2	79.6	0.00	349.74	0.00	538.17	0.00	349.74	45.19	NA	Mesotrophic	2349983.02	1302207.13	887504.24	55	38
744	Costeira_Sudeste	ES	River	S1924954 	W04005983 	28.95	61	0.03	8.36	7.42	70.4	0.00	368.63	2.68	647.41	0.00	368.63	50.77	137.46	Mesotrophic	34165116.28	25863953.49	7985581.40	76	23
745	Costeira_Sudeste	ES	River	S1925190 	W04001251 	29.08	61	0.03	8.26	7.2	54.7	0.00	365.20	0.00	588.66	0.00	365.20	43.28	NA	Mesotrophic	3282095.81	1821816.37	1294231.54	56	39
748	Costeira_Sudeste	MG	River	S1930451 	W04059676 	29.77	58	0.03	8.58	6.89	77.8	0.00	339.82	0.00	571.17	0.00	339.82	48.06	NA	Mesotrophic	1386536.11	797258.26	509840.88	58	37
752	Costeira_Sudeste	ES	River	S1932655 	W03951923 	29.07	62	0.03	8.26	7.51	280.6	0.00	330.66	3.58	623.65	0.00	330.66	42.80	92.47	Mesotrophic	1065042.98	600706.78	394460.36	56	37
779	Costeira_Sudeste	MG	River	S2009080 	W04249061 	26.46	78	0.04	8.25	7.35	89.2	0.00	274.94	0.00	1417.66	0.00	274.94	42.48	NA	Mesotrophic	1800486.32	1135167.17	557720.36	63	31
