Sample	Region	State	Typo	Latitude	Longitude	Temp	Cond	Sal	OD	pH	Clorof	NO2	NO3	PO4	SO4	NH4	NID	Ptotal	NPratio	Trophic	Bacteria	HighDNA	LowDNA	%High	%Low
162	Amazonas	AM	River	S0252328 	W06453188 	30.1	238	0.11	7.36	7.25	18.8	0.00	242.88	0.97	1.210	0.00	242.88	96.77	251.22	Eutrophic	1004229.17	567260.42	410541.67	56	41
274	Amazonas	AM	River	S0503819 	W06019296 	29.91	320	0.15	NA	7.47	10.4	0.00	234.26	2.90	3.661	0.00	234.26	112.10	80.77	Eutrophic	366677.69	260705.23	93619.83	71	26
314	Amazonas	AM	River	S0549735 	W06118587 	29.72	322	0.15	NA	7.63	12.5	0.00	306.98	3.09	3.727	79.67	386.65	103.48	124.98	Eutrophic	286024.94	204807.98	74743.14	72	26
2238	Amazonas	AM	River	S0315566 	W06419953 	29.96	277	0.13	7.47	6.69	15	0.00	257.34	6.77	0.935	4.74	262.08	63.56	38.73	Eutrophic	1023517.12	731387.39	256410.81	71	25
111	Amazonas	PA	River	S0150250 	W05329141 	29.4	73	0.03	5.91	6.82	7.5	0.00	131.01	6.81	467.99	0.00	131.01	56.84	19.24	Eutrophic	129859.91	67053.53	45817.77	52	35
131	Amazonas	PA	River	S0201982 	W05604045 	28.57	74	0.03	6.08	6.78	11	0.00	164.42	15.57	505.64	81.60	246.02	69.45	15.80	Eutrophic	133664.48	75598.99	37913.35	57	28
348	Amazonas	PA	River	S0643271 	W05652533 	26.54	53	0.02	5.88	6.91	39	0.41	186.90	1.16	0.162	0.00	187.31	198.01	161.45	Eutrophic	297458.33	184989.58	104479.17	62	35
326	Amazonas	AM	River	S0549508 	W06121457 	29.73	325	0.15	NA	7.36	6.6	0.00	264.53	1.16	3.732	0.00	264.53	307.08	228.01	Hypereutrophic	184185.90	130480.77	49544.87	71	27
2025	Amazonas	MT	Lake	S1219708 	W05304945 	31.91	10	0	7	6.69	41.7	NA	12.63	NA	41.63	54.29	66.92	35.46	NA	Mesotrophic	1196372.98	854552.13	341820.85	71	29
2028	Amazonas	MT	Lake	S1233379 	W05307613 	30.69	10	0	6.58	6.94	1.5	NA	13.71	4.31	64.16	78.58	92.30	31.15	21.44	Mesotrophic	2784067.13	1515306.29	1268760.84	54	46
2029	Amazonas	MT	Lake	S1220909 	W05312082 	31.71	11	0	6.67	6.79	18.6	NA	12.36	8.31	19.43	30.00	42.36	49.97	5.10	Mesotrophic	3060350.07	2111757.43	948592.64	69	31
2030	Amazonas	MT	Lake	S1208605 	W05326340 	30.63	8	0	6.95	6.97	5.6	NA	33.29	NA	117.15	54.29	87.58	38.81	NA	Mesotrophic	670344.32	292384.22	377960.09	44	56
2031	Amazonas	PA	Lake	S0914148 	W05201979 	32.29	16	0.01	6.76	8.03	7.9	NA	12.09	6.59	16.84	30.00	42.09	29.96	6.39	Mesotrophic	3830874.36	2411109.48	1419764.88	63	37
421	Amazonas	AM	Lake	S0755897 	W06511312 	31.65	38	0.02	NA	5.89	7.8	0.03	13.36	2.51	0.038	12.33	25.71	27.15	10.23	Mesotrophic	1475000.00	526280.00	855500.00	36	58
545	Amazonas	RO	Lake	S1104301 	W06515045 	26.7	96	0.04	NA	7.26	16.6	0.00	26.02	0.00	0.052	1.90	27.91	35.93	NA	Mesotrophic	1904454.49	1186856.04	751878.63	62	39
2158	Amazonas	MT	Lake	S0859405 	W05709575 	29.94	358	0.17	6.56	8.14	5.3	0.00	1.58	0.00	0.614	0.95	2.53	39.44	NA	Mesotrophic	2970795.57	2130654.58	808056.39	72	27
2159	Amazonas	RO	Lake	S0819226 	W06243634 	30.66	45	0.02	5.81	6.99	9.8	0.00	2.37	0.00	0.038	0.00	2.37	47.59	NA	Mesotrophic	1501272.26	933791.35	535653.94	62	36
115	Amazonas	PA	Lake	S0152716 	W05012029 	29.84	88	0.04	8.01	7.86	12.4	0.00	3.28	5.22	0.355	0.00	3.28	30.02	0.63	Mesotrophic	643224.57	439385.80	174395.39	68	27
